shift_number,trip_number,passenger_count,tolls_amt,tip_amt,surcharge,total_amt,trip_distance,long_end,lat_end,long_start,lat_start,vendor_name,payment_method_rec,zipcode_start,zipcode_end,dropoff_minute,dropoff_hour,dropoff_day,pickup_minute,pickup_hour,pickup_day,pickup_year,trip_duration,medallion
274035390,7811,2,0,0,0,7.8,1.99,-73.9831,40.7397,-73.9807,40.7645,VTS,Cash,10016,10103,33,1,18,24,1,18,2009,9,C9994T
274440025,7711,2,0,2,0.5,8.2,1.63,-73.9988,40.7446,-73.9884,40.764,VTS,Credit,10011,10018,42,1,15,38,1,15,2009,4,C9291T
274445707,24190,1,0,0,0.5,5,0.89,-73.9857,40.7527,-73.9833,40.7625,VTS,Cash,10110,10020,59,1,15,55,1,15,2009,4,C4342T
5909735,9193,1,0,0,0,8.9,2.3,-74.0027,40.7319,-73.984,40.7612,CMT,Cash,10012,10020,27,1,19,14,1,19,2009,13,C4442T
6488003,1814,1,0,0,0,4.9,0.9,-73.9713,40.756,-73.9811,40.7641,CMT,Cash,10171,10103,7,1,31,1,1,31,2009,6,C9292T
276375404,23940,1,0,0,0,11.4,3.87,-73.9411,40.7941,-73.984,40.7583,VTS,Cash,10029,10020,6,1,28,54,0,28,2009,12,C5759T
276677772,3440,5,0,0,0.5,6.6,1.22,-73.9659,40.7537,-73.9862,40.7623,VTS,Cash,10154,10018,36,1,19,29,1,19,2009,7,C0208T
8215907,3004,3,0,0.99,0,7.09,1.1,-73.9839,40.7529,-73.9877,40.7568,CMT,Credit,10110,10018,34,1,13,26,1,13,2009,8,C4346T
8808938,9153,1,0,1.45,0,6.75,1.1,-73.9802,40.761,-73.9926,40.7587,CMT,Credit,10103,10018,48,1,18,43,1,18,2009,5,C6768T
277976794,27975,1,0,4.28,0,25.68,7.23,-73.9488,40.7112,-73.9863,40.7623,VTS,Credit,11211,10018,39,1,18,8,1,18,2009,31,C2421T
278387267,587,1,0,0,0.5,7.5,1.19,-73.9864,40.7469,-73.9835,40.7566,VTS,Cash,10001,10020,15,1,15,7,1,15,2009,8,C5451T
278582370,866,1,0,0,0.5,12.3,3.22,-73.9939,40.7211,-73.9857,40.7607,VTS,Cash,10002,10018,48,1,29,32,1,29,2009,16,C8186T
11485411,4915,1,0,0,0.5,23.5,7.7,-73.9898,40.702,-73.9889,40.7601,CMT,Cash,11201,10018,12,1,21,42,0,21,2010,30,C0304T
280163736,6360,1,0,1,0.5,7.3,1.06,-73.9673,40.7553,-73.9805,40.7608,VTS,Credit,10154,10020,21,1,21,15,1,21,2010,6,C8388T
280669069,7517,2,0,1,0.5,9.7,2.32,-73.9538,40.7768,-73.9828,40.7667,VTS,Credit,10028,10019,48,1,25,40,1,25,2010,8,C6165T
280562048,4381,1,0,0,0.5,5.9,1.17,-73.9633,40.7582,-73.9814,40.7663,VTS,Cash,10022,10103,44,1,18,40,1,18,2010,4,C8483T
280970370,8482,5,0,1,0.5,9.7,2.19,-73.9755,40.7895,-73.9842,40.7622,VTS,Credit,10162,10020,5,1,16,56,0,16,2010,9,C1717T
281071919,10011,1,0,0,0.5,13.1,3.71,-73.9902,40.7251,-73.9878,40.7649,VTS,Credit,10003,10018,56,1,23,39,1,23,2010,17,C5655T
13297892,2616,1,0,0,0.5,4.7,0.6,-73.991,40.7509,-73.9851,40.7586,CMT,Cash,10119,10020,42,1,20,40,1,20,2010,2,C8685T
14039152,4139,1,0,0,0.5,8.7,2.4,-73.9767,40.7898,-73.9893,40.7625,CMT,Cash,10162,10018,0,1,25,51,0,25,2010,9,C9397T
14888707,5090,1,0,0,0.5,5.1,0.5,-73.9851,40.7683,-73.9844,40.7647,CMT,Cash,10019,10103,36,1,9,32,1,9,2010,4,C6765T
15193961,1880,1,0,1,0.5,7.3,1,-73.9683,40.7593,-73.9855,40.7631,CMT,Credit,10022,10018,28,1,19,22,1,19,2010,6,C0502T
15188647,9881,3,0,0,0.5,5.5,0.7,-73.9791,40.7622,-73.9889,40.7602,CMT,Cash,10103,10018,26,1,19,22,1,19,2010,4,C1714T
283162636,16404,5,0,0,0.5,8.3,1.55,-74.0053,40.7412,-73.9908,40.7609,VTS,Cash,10014,10018,25,1,17,15,1,17,2010,10,C6668T
283473808,14953,5,0,2,0.5,7.1,0.95,-73.9949,40.7532,-73.9831,40.7592,VTS,Credit,10199,10020,9,1,11,7,1,11,2010,2,C4244T
283571513,1576,5,0,4.12,0.5,25.22,8.03,-73.9349,40.857,-73.9874,40.7655,VTS,Credit,10034,10019,52,1,14,34,1,14,2010,18,C7277T
3702181,5982,2,0,0,0,6.2,1.2,-73.9915,40.7598,-73.9876,40.7629,CMT,Cash,10018,10018,8,2,19,2,2,19,2008,6,C2626T
3705270,6011,1,0,0,0,21.4,8.7,-73.9146,40.8446,-73.9867,40.7618,CMT,Cash,10452,10018,27,2,19,14,2,19,2008,13,C5258T
273644863,17617,1,0,0,0,5,0.96,-73.9881,40.7488,-73.9916,40.7597,VTS,Cash,10001,10018,36,2,21,32,2,21,2008,4,C8384T
274445800,18677,1,0,0,0.5,6.2,1.15,-73.9725,40.7563,-73.9853,40.7596,VTS,Cash,10171,10020,33,2,15,25,2,15,2009,8,C6664T
5212044,76,1,0,0,0,4.2,0.7,-73.9913,40.7605,-73.9844,40.7645,CMT,Cash,10018,10103,26,2,22,24,2,22,2009,2,C5158T
5567499,1310,1,0,0,0,11.8,3.3,-73.9531,40.7854,-73.9867,40.7615,CMT,Cash,10029,10018,2,2,22,49,1,22,2009,13,C3733T
275451712,4201,5,0,2,0,11.4,2.65,-74.0005,40.7327,-73.9874,40.7609,VTS,Credit,10012,10018,33,2,26,21,2,26,2009,12,C8385T
5997237,9317,1,0,0,0,12.1,4,-74.01,40.7112,-73.9877,40.7604,CMT,Cash,10271,10018,19,2,26,2,2,26,2009,17,C4243T
276171902,16563,2,0,0,0.5,33,13.1,-73.8347,40.7065,-73.9824,40.7642,VTS,Cash,11351,10103,42,2,14,10,2,14,2009,32,C2328T
276679247,555,1,0,3.16,0.5,18.96,5.2,-73.952,40.7603,-73.9854,40.759,VTS,Credit,11106,10020,18,2,19,59,1,19,2009,19,C1814T
8815884,492,1,0,0,0,11.3,2.7,-73.9802,40.7336,-73.9906,40.7611,CMT,Cash,10009,10018,3,2,18,45,1,18,2009,18,C4845T
278383451,1068,2,0,1.5,0.5,12.2,2.6,-73.9935,40.7362,-73.9878,40.7652,VTS,Credit,10011,10019,50,2,15,37,2,15,2009,13,C0307T
280166018,5858,1,0,0,0.5,7.1,1.3,-73.9744,40.7506,-73.9903,40.7608,VTS,Cash,10017,10018,5,2,21,57,1,21,2010,8,C6665T
13016776,6295,3,0,0,0.5,16.3,4.6,-73.9948,40.7214,-73.9876,40.7605,CMT,Cash,10002,10018,11,2,6,50,1,6,2010,21,C0506T
281571080,12732,3,0,0,0.5,17.5,5.79,-73.9419,40.8121,-73.9884,40.7642,VTS,Cash,10037,10018,47,2,27,26,2,27,2010,21,C5759T
281767381,1101,1,0,0,0.5,13.9,4.48,-73.9215,40.7601,-73.9887,40.7635,VTS,Cash,11103,10018,1,2,7,48,1,7,2010,13,C1712T
282163376,8727,5,0,0,0.5,8.7,2.2,-73.9933,40.7366,-73.9869,40.761,VTS,Cash,10011,10018,2,2,8,54,1,8,2010,8,C9393T
15187216,135,1,0,0,0.5,7.1,1.7,-73.9672,40.7572,-73.9849,40.7588,CMT,Cash,10022,10020,8,2,19,3,2,19,2010,5,C9996T
